Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2597","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2552","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2561","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2573","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","368584.05","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","373902.93","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","380898.29","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","376781.69","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","379953.49","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","383069.38","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3072","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3043","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","3089","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","3137","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","3194","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3174","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","312450.49","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","310098.02","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","315305.68","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","320828.83","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","327246.1","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","325817.97","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2711","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2761","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2801","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2865","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2864","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2849","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","363484.98","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","377550.12","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","390671.98","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","406906.41","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","412767.51","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","415926.99","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2642","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2642","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2633","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2687","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2725","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2767","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","10859612.69","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","11182020.25","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","11476385.25","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","12053948.97","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","12573988.74","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","13124559.17","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2365","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2361","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2393","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2419","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2380","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2361","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","9722842.24","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","9856098.92","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","10137050.09","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","10398786.49","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","10370004.98","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","10411487.73","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2544","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2550","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2531","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2575","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2584","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2605","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","2184018.19","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","2235644.61","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","2264830.18","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","2349770.95","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","2402027.11","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","2460893.73","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3223","E","Estimated value"
